area,areasize,areatype,Bedrooms,price
,875.0,carpet area,2,46.0
Kuntloor,1260.0,super area,2,120.0
,1000.0,carpet area,2,45.0
,1150.0,carpet area,2,72.0
Hyderabad Expressway,1800.0,carpet area,2,130.0
Manikonda,1755.0,super area,3,140.0
,190.0,carpet area,2,47.7
Chintalmet,1440.0,carpet area,2,65.0
Rampally,150.0,carpet area,3,45.0
Bandlaguda Jagir,1625.0,super area,3,110.00000000000001
Nagaram,1400.0,carpet area,3,60.0
,53.0,carpet area,1,60.0
Vanasthalipuram,1170.0,carpet area,2,83.0
Vanasthalipuram,1170.0,carpet area,2,83.0
Nallagandla,1385.0,super area,2,79.0
,5548.0,super area,1,65.0
Sun City,1266.0,super area,3,75.0
NFC Employees Colony,1800.0,carpet area,3,132.0
Murad Nagar,1000.0,carpet area,2,39.5
,225.0,carpet area,5,95.0
Almasguda,2300.0,carpet area,2,110.00000000000001
Ganesh Nagar,100.0,carpet area,3,85.0
Munirabad,1248.0,super area,2,48.0
,765.0,super area,1,65.0
,1130.0,carpet area,2,40.0
,2000.0,super area,4,105.0
,1647.0,carpet area,2,92.0
Kollur,315.0,carpet area,2,45.0
Appa junction,1162.0,super area,2,55.0
Saroornagar,955.0,carpet area,2,60.4
Miyapur,1290.0,carpet area,2,89.0
Jamal Colony,1176.0,carpet area,3,60.0
,950.0,carpet area,2,54.0
Peeranchuruvu,1800.0,super area,3,135.0
Gachibowli,854.0,carpet area,2,92.4
Miyapur,1250.0,super area,2,82.0
Amberpet,1100.0,carpet area,2,97.0
Bandlaguda Jagir,1100.0,carpet area,2,60.0
Chanda Nagar,1550.0,super area,3,99.0
Dattatreya Colony,1020.0,super area,2,37.0
PJR Layout,1135.0,super area,2,66.0
Mallapur,1625.0,super area,3,125.0
,1350.0,carpet area,3,89.0
Nizampet,1512.0,carpet area,3,71.5
Dammaiguda,1500.0,super area,3,86.0
,1600.0,super area,3,50.0
Bandlaguda Jagir,1065.0,carpet area,2,82.0
Kondapur,1212.0,super area,2,80.0
Injapur,2300.0,carpet area,4,127.0
Bandari Layout,1200.0,carpet area,2,48.0
Pasha Colony,1256.0,super area,3,56.5
KPHB Road,1200.0,carpet area,3,120.0
Chandanagar,900.0,carpet area,2,69.9
,930.0,carpet area,3,48.0
Upparpally,1563.0,carpet area,3,100.0
Beeramguda,1000.0,carpet area,2,84.0
Ootupally,1350.0,carpet area,3,105.0
PJR Layout,1150.0,super area,2,48.0
,950.0,super area,2,43.0
,1083.0,super area,2,87.5
Punjagutta,850.0,carpet area,2,70.0
Bachupally,1300.0,carpet area,2,60.0
Nizampet,1065.0,carpet area,2,43.0
OU Colony,1100.0,super area,2,75.0
Malakpet,1105.0,carpet area,2,72.0
,2800.0,carpet area,4,128.0
Hayat Nagar,1381.0,carpet area,3,55.0
Ibrahimpatnam Road,1503.0,carpet area,10,92.0
Isnapur,1150.0,carpet area,2,50.0
Mallapur-Balapur,2420.0,carpet area,4,76.0
Patrika Nagar,1350.0,carpet area,2,105.0
Kondapur,1800.0,carpet area,3,130.0
Kothapet,1100.0,super area,2,68.0
Yamnampet,1160.0,carpet area,3,52.4
Bollaram,1100.0,super area,3,48.8
Rajendra Nagar,1110.0,super area,2,68.0
Thumkunta,2242.0,carpet area,6,97.0
Thumkunta,2242.0,carpet area,6,97.0
Borabanda,1100.0,carpet area,2,70.0
Kadthal,1200.0,carpet area,2,85.0
Kakatiya Hills,900.0,carpet area,2,58.0
Moti Nagar-Erragadda,702.0,carpet area,8,110.00000000000001
Kondapur,1840.0,super area,3,120.0
Patancheru,554.0,super area,1,27.0
Kothur,1000.0,super area,2,48.0
Tarapuri Colony,1750.0,carpet area,2,130.0
Muthangi,1350.0,carpet area,7,114.99999999999999
Aziz Bagh Colony,1388.0,super area,2,114.99999999999999
Vijaya Nagar Colony,936.0,super area,2,60.0
Barkatpura,1043.0,carpet area,2,85.0
Quthbullapur,1146.0,carpet area,2,70.0
Muthangi,750.0,carpet area,2,35.0
Peerzadiguda,1980.0,super area,3,120.0
Gajularamaram,1599.0,carpet area,3,100.0
New Boiguda,905.0,super area,2,33.0
Sai Anurag Colony,1145.0,super area,2,52.5
Thumkunta,1213.0,super area,2,35.0
Riyasat Nagar,1350.0,super area,3,50.0
Dammaiguda,1000.0,super area,2,42.0
Kompally,1755.0,super area,3,98.4
Puppalaguda,1090.0,carpet area,2,47.0
Nizampet,1550.0,super area,3,75.0
Narsingi,2400.0,carpet area,4,140.0
,775.0,carpet area,3,43.6
Ramakrishnapuram-Neredmet,1495.0,super area,3,79.0
Darga Khaliz Khan,1310.0,carpet area,2,64.0
Brindavan Colony,1250.0,carpet area,3,90.0
Kollur,940.0,carpet area,2,100.0
Isnapur,754.0,carpet area,2,34.0
Aliabad,1098.0,carpet area,4,105.0
Chintalmet,944.0,carpet area,2,37.0
Hitex,1400.0,carpet area,3,120.0
Dammaiguda,1900.0,carpet area,4,125.0
SRT Nagar,2300.0,super area,5,120.0
Injapur,175.0,super area,2,105.0
Sai Baba Nagar Colony,1050.0,super area,2,60.0
Moula Ali,668.0,carpet area,2,70.0
Uppal,1550.0,carpet area,3,89.1
Attapur,1667.0,carpet area,3,100.0
Peerzadiguda,1464.0,super area,2,65.0
Habsiguda,1084.0,carpet area,2,50.0
,2400.0,carpet area,4,125.0
,900.0,carpet area,2,40.0
Isnapur,727.0,carpet area,2,34.6
Rajendra Nagar,1100.0,super area,3,95.0
Rajeevgandhi Nagar,1250.0,super area,3,75.0
Aminpur,750.0,carpet area,2,56.0
Mallampet,1164.0,carpet area,2,50.5
,1600.0,super area,3,107.0
